A4F4	水稻栽培
AD40	耐火纖維製造
BAD2	碳化矽磚製造
C25F	斷熱磚製造
A467	土磚製造
A5D5	白灰磚製造
A661	地磚製造
A9DF	拋光石英磚製造
AB70	厚瓦製造
ABF7	拼花瓷磚製造
ACF5	紅磚製造
ACF5	紅鋼磚燒製
ADB1	面磚製造
ADB8	飛簷瓦製造
AF5B	琉璃磚瓦製造
B16D	彩磚燒製
B16D	彩瓦燒製
B2A1	瓷磚製造
B3B3	陶瓷面磚製造
B6A5	階磚製造
B956	釉面瓷磚製造
C1A1	薄瓦製造
C248	黏土導管燒製
AFC0	素瓷衛浴設備燒製
B2A1	瓷痰盂燒製
B2A1	瓷面盆燒製
B2A1	瓷浴缸燒製
B2A1	瓷手巾架燒製
B2A1	瓷盥洗台燒製
B2A1	瓷抽水馬桶燒製
B2A1	瓷水龍頭把柄燒製
B37A	透光瓷衛浴設備燒製
A475	工業用陶瓷製品燒製
ACEC	科學用陶瓷製品燒製
B2A1	瓷酒瓶燒製
B3B3	陶水缸燒製
B3B3	陶瓷餐具燒製
B3B3	陶瓷雕像燒製
B3B3	陶瓷家具燒製
B3B3	陶瓷裝飾品燒製
A452	卜特蘭水泥製造
A4F4	水泥熟料製造
A4F4	水硬性水泥製造
A4F5	火山灰水泥製造
A5D5	白水泥製造
AA6F	油井水泥製造
AABF	矽質水泥製造
ADB8	飛灰水泥製造
B0AA	高爐水泥製造
B0AA	高鋁水泥製造
B0AA	高度抗硫酸鹽水泥製造
B977	預拌混凝土
A4F4	水泥樑製造
A4F4	水泥磚製造
A4F4	水泥瓦製造
A4F4	水泥橋段製造
A4F4	水泥浴盆製造
A4F4	水泥垃圾桶製造
A4F4	水泥空心磚製造
A55B	加石棉水泥製品製造
B256	混凝土板製造
B256	混凝土柱製造
B256	混凝土管製造
B256	混凝土樑製造
B256	混凝土磚製造
B256	混凝土邊石製造
B256	混凝土枕木製造
B977	預力混凝土管製造
B977	預力混凝土電桿製造
B977	預力混凝土基樁製造
B977	預鑄混凝土人孔、手孔製造
B977	預鑄混凝土隧道弓型支堡製造
BFFB	鋼筋水泥製品製造
C5D6	纖維強化水泥板製造
A46A	大理石製品製造
A5DB	石碑製造
A5DB	石磨製造
A5DB	石器物製造
A5DB	石雕刻製造
A5DB	石材家具製造
A5DB	石材工藝品製造
A5DB	石材建築材料製造
AE78	庭院石雕製造
BE51	鋪地石板製造
BE51	鋪砌塊石製造
A448	人造磨石製造
A448	人造磨輪製造
A4D1	天然磨石製造
A4D1	天然磨輪製造
A5DB	石榴石紙製造
A5DB	石榴石布製造
AAF7	金鋼砂製造
AAF7	金鋼砂布製造
AAF7	金鋼砂紙製造
AAF7	金鋼砂紙板製造
ACE2	砂紙製造
ACE2	砂輪製造
ACE2	砂布製造
AF42	浮石粉製造
AF42	浮石布製造
AF42	浮石紙製造
B2D3	細磨粉製造
B577	硬料製造
B577	硬白堊布製造
B577	硬白堊紙製造
BF69	磨光粉製造
A4F4	水硬石灰製造
A5CD	生石灰燒製
B256	混合石灰製造
BCF4	熟石灰製造
A55B	加色熟石膏製造
A5DB	石膏板製造
A5DB	石膏雕像製造
A5DB	石膏塑料製造
A6C7	灰泥石膏製造
A46A	大理石粉製造
A5DB	石棉布壓製
A5DB	石英粉製造
A5DB	石墨模製造
A5DB	石棉帶製造
A5DB	石墨磚製造
A5DB	石棉索製造
A5DB	石墨管製造
A5DB	石棉墊圈製造
A5DB	石棉織物製造
AABF	矽藻土料製造
AABF	矽酸鈣絕熱材料製造
AB44	非塑膠人造石製造
AC74	氟石粉製造
ADAB	重晶石粉製造
B0AA	高嶺土製造
B6B3	雲母棒製造
B6B3	雲母管製造
B6B3	雲母片製造
B6B3	雲母隔板製造
B6B3	雲母墊圈製造
B7C6	滑石粉製造
BAD2	碳精棒製造
C248	黏土料製造
C248	黏土擺飾製造
C377	瀝青混凝土製造
C45F	寶石粉製造
A5CD	生鐵鍊製
A658	合金鋼鍊製
A658	合金鐵鍊製
AABD	直接還原鐵鍊製
BAD2	碳素鋼鍊製
C5B1	鑄管鑄造
C5B1	鑄鐵件鑄造
C5B1	鑄鋼件鑄造
ABAC	型鋼製造
B4CE	棒鋼製造
BD4C	盤元製造
BFFB	鋼筋製造
BFFB	鋼帶製造
BFFB	鋼捲製造
BFFB	鋼片製造
BFFB	鋼軌製造
BFFB	鋼板製造
BFFB	鋼管製造
A4A3	不鏽鋼線製造
A743	低碳鋼線（鐵線）製造
BFFB	鋼線製造
BFFB	鋼纜製造
BE54	鋁精鍊
BE54	鋁合金鍊製
A641	再生鋁合金鑄造
BE54	鋁合金鑄造
BE54	鋁線製造
BE54	鋁片製造
BE54	鋁管製造
BE54	鋁箔製造
BE54	鋁板製造
BE54	鋁擠型製造
BE54	鋁條棒製造
AFA5	砲銅製造
B971	電解銅製造
BBC9	銅精鍊
BBC9	銅合金製造
AB43	青銅鑄造
B0AA	高拉力黃銅鑄造
B5B5	紫銅鑄造
B6C0	黃銅鑄造
B95D	鉛青銅鑄造
BE54	鋁青銅鑄造
BF4D	燐青銅鑄造
BBC9	銅板製造
BBC9	銅線製造
BBC9	銅管製造
BBC9	銅片製造
BBC9	銅棒製造
BBC9	銅箔製造
BBC9	銅擠型製造
BE4E	鋅鑄件製造
BE4E	鋅壓鑄件製造
BE4E	鋅合金鑄件製造
BE4E	鋅合金壓鑄件製造
C1E2	鎂鑄件鑄造
C1E2	鎂壓鑄件製造
C1E2	鎂合金鑄件鑄造
C1E2	鎂合金壓鑄件製造
AAF7	金棒製造
AAF7	金箔製造
AAF7	金錠製造
AAF7	金屬銲料製造
AAF7	金軋延及伸線
DC67	鈦棒製造
DC67	鈦管製造
B95D	鉛精鍊
B95D	鉛錠製造
B95D	鉛棒製造
B95D	鉛箔製造
B95D	鉛片製造
B960	鉑合金製造
BBC8	銀精鍊
BBC8	銀棒製造
BBC8	銀箔製造
BBC8	銀錠製造
BBC8	銀軋延及伸線
BE4E	鋅精鍊
BE4E	鋅管製造
BE4E	鋅桿製造
BE4E	鋅板製造
BE4E	鋅錠製造
BE4E	鋅片製造
BE4E	鋅棒製造
BE4E	鋅粉製造
BE4E	鋅軋延及伸線
BE5A	銲絲製造
BE5A	銲棒製造
BE5A	銲條製造
BFFC	錫精鍊
BFFC	錫錠製造
BFFC	錫箔製造
BFFC	錫軋延及伸線
C1E2	鎂板製造
C1E2	鎂桿製造
C1E2	鎂管製造
C1E2	鎂條製造
C1E2	鎂片製造
C1E2	鎂錠製造
C1E2	鎂棒製造
C1E2	鎂合金片製造
C1E2	鎂合金棒製造
C1E2	鎂合金桿製造
C1E2	鎂合金錠製造
C1E2	鎂合金板製造
C1E2	鎂合金條製造
C1E2	鎂合金管製造
C1E2	鎂合金射出成型件製造
A4C1	切鉗製造
A4C1	切刀製造
A5B4	打糊槍(填縫槍)製造
A7A8	夾具製造
A7E6	扳手製造
A7E6	扳鉗製造
A852	沖床沖頭製造
A8EF	剁刀製造
A9DE	拔釘器製造
A9F2	斧製造
AAEA	虎頭鉗製造
AE4D	套筒及套筒扳手製造
AFD2	耙製造
B0A3	除草器製造
B0C5	剪片製造
B0C5	剪刀製造
B3CE	割草器製造
B95E	鉋刀製造
BBC7	鉸鏈製造
BBD1	銑刀製造
BE53	鋤製造
BFF7	鋸類製造
C040	錐製造
C1B3	螺絲起子製造
C2EA	鎖具及鑰匙製造
C2F1	鎚斧製造
C549	鐮刀製造
C54B	鐵砧製造
C54B	鐵鏟製造
C668	鑷子製造
C670	鑽頭製造
A852	沖壓模具製造
B6EC	塑膠成型模具製造
C0A3	壓鑄模具製造
C1EB	鍛造模具製造
C5B1	鑄造模具製造
AAF7	金屬橋段製造
AAF7	金屬樑柱製造
AAF7	金屬帷牆製造
BFFB	鋼鐵架製造
BFFB	鋼結構製造
AAF7	金屬瓦製造
AAF7	金屬樓梯製造
AAF7	金屬門窗製造
AAF7	金屬欄杆製造
AAF7	金屬花管製造
AAF7	金屬門框製造
AAF7	金屬天花板製造
AAF7	金屬高架地板製造
BBB4	輕鋼架製造
A5CB	瓦斯鋼瓶製造
AAF7	金屬貯槽製造
AED6	核子反應器製造
C1E7	鍋爐製造
C1E7	鍋爐附屬裝置製造
AAF7	金屬箱製造
AAF7	金屬瓶製造
AAF7	金屬盒製造
AAF7	金屬桶製造
AAF7	金屬罐製造
AAF7	金屬筒製造
BBC9	銅鍛品製造
BE54	鋁鍛品製造
BFFB	鋼鐵鍛品製造
C1E2	鎂合金鍛品製造
AFBB	粉末冶金
A4C6	化學蒸鍍處理
AAAB	物理蒸鍍處理
AAF7	金屬製品熱處理
AB44	非鐵金屬熱處理
BEF7	機械零件熱處理
BFFB	鋼鐵熱處理
AAF7	金屬電鍍處理
AAF7	金屬鍍著處理
AAF7	金屬噴漆處理
AAF7	金屬電著塗裝處理
AAF7	金屬表面磨光處理
AAF7	金屬焊接處理
AAF7	金屬雕刻處理
AAF7	金屬裁剪處理
B076	釘製造
B1E9	梢製造
B967	鉚釘製造
B9D4	墊圈（華司）製造
C1B3	螺帽製造
C1B3	螺栓製造
C1B3	螺絲製造
C1B3	螺旋鉤製造
C1B3	螺旋圈製造
A7E1	扭彈簧製造
AA4F	板彈簧製造
BC75	彈片製造
BD4C	盤彈簧製造
C1B3	螺旋彈簧製造
A46A	大頭針製造
A8EB	刺鐵絲網製造
AAF7	金屬別針製造
AAF7	金屬籬網製造
AAF7	金屬鉤針製造
AAF7	金屬衣架製造
AAF7	金屬柵格製造
AAF7	金屬髮夾製造
AAF7	金屬珠鏈製造
AAF7	金屬絲扭製品製造
B06A	迴形針製造
B076	釘書針製造
B8CB	裝訂針製造
B9CF	圖釘製造
BFFB	鋼鐵鏈製造
C15F	縫針製造
C3EC	鏈條製造
C54B	鐵絲製品製造
33	3C產品金屬機殼製造
A5B4	打包鋼帶製造
A5C3	永久性磁鐵製造
AA5A	武器及彈藥製造
AAF7	金屬鈴製造
AAF7	金屬徽章製造
AAF7	金屬餐具製造
AAF7	金屬紡錘製造
AAF7	金屬紙夾製造
AAF7	金屬瓶蓋製造
AAF7	金屬鐐銬製造
AAF7	金屬亮片製造
AAF7	金屬鞋楦製造
AAF7	金屬軟管製造
AAF7	金屬把手製造
AAF7	金屬馬具製造
AAF7	金屬溜槽製造
AAF7	金屬螺槳製造
AAF7	金屬掛鉤製造
AAF7	金屬滑輪製造
AAF7	金屬通氣口製造
AAF7	金屬灌溉管製造
AAF7	金屬散熱片製造
AAF7	金屬煙灰缸、碟製造
AAF7	金屬浴缸及臉盆製造
AB4F	保險箱製造
B2BE	移動式金屬梯製造
B2EE	船錨製造
B95D	鉛字鑄製
B971	電焊條製造
BFE1	蹄鐵製造
BFFB	鋼盔製造
C3F6	關門器製造
C4B5	警鐘製造
C54B	鐵皮通風管製造
C54B	鐵皮導水管製造
C5E9	體育用槍及彈藥製造
A5FA	光罩製造
A641	再生晶圓製造
B04F	記憶體製造
BD55	磊晶矽晶圓製造
BF6E	積體電路（IC）製造
A447	二極體製造
A4C0	分離式元件專用導線架製造
B968	閘流體製造
B971	電晶體製造
BF6E	積體電路引腳架製造
A562	半導體測試封裝
B4B9	晶圓封裝
BF6E	積體電路（IC）測試封裝
B971	電子用變壓器製造
B971	電子用繼電器製造
B971	電子用電感器製造
B971	電子用電阻器製造
B971	電子用電容器製造
B971	電子用變阻器製造
B971	電子用電阻裝置製造
B971	電子用突波吸收器製造
A64C	印刷電路板製造
A64C	印刷電路銅箔基板製造
AD49	背光模組製造
B16D	彩色濾光片製造
B247	液晶面板製造
A6B3	有機發光二極體(OLED)製造
B56F	發光二極體（LED）封裝
B56F	發光二極體（LED）製造
B56F	發光二極體（LED）晶粒製造
B56F	發光二極體（LED）模組製造
B56F	發光二極體（LED）磊晶片製造
A4D3	太陽能板製造
A4D3	太陽能電池製造
A4D3	太陽能矽晶片製造
A4D3	太陽能電池模組製造
AEF1	氧化銦鍚（ITO）導電玻璃製造
B0BE	偏光板製造
B970	雷射二極體（LD）製造
B971	電子紙製造
B971	電漿面板製造
C4B2	觸控面板製造
A4B6	介面卡製造
A544	主機卡製造
ADB5	音效卡製造
B04F	記憶體模組製造
B1B1	控制卡製造
B5F8	視訊卡製造
B9CF	圖形卡製造
BAF4	網路卡製造
A5DB	石英振盪器製造
AC4D	映像管製造
AF75	真空管製造
B0DB	唱機頭製造
B371	通訊微波元件製造
B3B1	陰極射線管製造
B4BC	智慧卡（IC卡、SIM卡）製造
B971	電子標籤基本元件製造
B971	電磁閥製造
B971	電子管製造
B971	電子連接線製造
B971	電子轉換器製造
B971	電子整流器製造
B971	電子連接器製造
BACF	磁控管製造
BFFD	錄影頭製造
C26F	濾波器製造
A46A	大型主機製造
A475	工業電腦製造
A4E2	手提式電腦製造
A5AD	平板電腦製造
A6F8	伺服器製造
ADD3	個人電腦製造
ADD3	個人數位助理器（PDA）製造
B5A7	筆記型電腦製造
B74C	微型電腦製造
B8EA	資料微處理機製造
B971	電腦製造
B971	電子字典製造
B247	液晶顯示器製造
B2D7	終端機製造
B3B1	陰極射線管顯示器製造
B971	電漿顯示器製造
A569	可程式元件燒錄器製造
A5CD	生物辨識裝置製造
A5FA	光筆製造
A5FA	光碟機製造
A5FA	光碟燒錄器製造
A64C	印表機製造
A668	多功能事務機製造
A6DB	自動櫃員機（ATM）製造
A8EA	刷卡機製造
B1F8	條碼閱讀機製造
B7C6	滑鼠製造
B971	電子筆製造
B971	電子白板製造
B971	電腦控制桿裝置製造
BACF	磁碟機製造
BC76	影像掃描器製造
BCC6	數位板製造
BCC6	數位投影機製造
C048	隨身碟製造
C1E4	鍵盤製造
C3B8	繪圖機製造
C5AA	讀卡機製造
A4E2	手機製造
A6B3	有線對講機製造
A6B3	有線電話機製造
B54C	無線電話設備製造
B971	電話答錄機製造
A4D1	天線製造
A8AE	車用防盜器製造
A8BE	防盜防災系統設備製造
A949	呼叫器製造
B54C	無線電報機製造
B54C	無線電接收機製造
B54C	無線電報設備製造
B5F8	視訊傳輸設備製造
B6B0	集線器製造
B6C7	傳真機製造
B8F4	路由器製造
B968	閘道器製造
B971	電眼製造
B971	電子警報器製造
B971	電報傳真機製造
B971	電話交換機製造
B971	電視傳播專用攝影機製造
BACA	監視攝影機製造
BAF4	網路連接器製造
BBBB	遙控設備製造
BCC6	數據機製造
BCC6	數位電視接收器製造
BDC3	衛星通訊設備製造
BEF4	橋接器製造
A569	可攜式多媒體播放器（PMP）製造
A5FA	光碟錄放影機製造
A6AC	收音機製造
A6D5	耳機製造
A6E6	行車記錄器製造
ADB5	音響設備製造
AE61	家用攝影機製造
AE61	家庭劇院視聽設備製造
B3C1	麥克風製造
B4AD	揚聲器製造
B970	雷射碟影機製造
B971	電視機製造
B971	電唱機製造
B971	電子遊樂器（可更換軟體）製造
BC76	影音光碟機製造
BDD5	調諧器製造
BFFD	錄音機製造
BFFD	錄影機製造
BFFD	錄放影機製造
C249	點唱機製造
C258	擴音器製造
C258	擴大器製造
AAC5	空白唱片製造
AAC5	空白磁碟製造
AAC5	空白磁帶製造
AAC5	空白磁片製造
AAC5	空白錄影帶製造
AAC5	空白光碟片製造
AAC5	空白錄音帶製造
BACF	磁條卡製造
A475	工業校準工具製造
A475	工業製程變數控制儀器及裝置製造
A4F4	水表製造
A562	半導體測試儀器製造
A5CB	瓦斯表製造
A677	安全衛生檢測儀器製造
A6DB	自動測試儀器製造
A6DB	自動收票設備製造
A8AE	車速感應器製造
A977	定溫器製造
AB48	信號產生、分析與處理儀器製造
AD70	計量器製造
AD70	計程車錶製造
ADB8	飛行記錄器製造
AFE8	航空器專用儀器製造
B4BC	智慧電表製造
B54C	無線電導航儀製造
B671	量測儀器製造
B970	雷達系統設備製造
B971	電波測深器製造
B9EA	實驗室專用分析儀器及系統設備製造
BB73	製程檢測設備製造
BCC6	數值控制操作器製造
BDC3	衛星導航系統（GPS）設備製造
BDC3	衛星導航系統（GPS）軌跡影像記錄器製造
BEF7	機動車輛儀表製造
C0CB	檢驗平台製造
C0F4	環境檢測儀器製造
C0F4	環境自動控制及調節裝置製造
C16E	聲納設備製造
AD70	計時器製造
B0B1	停車計時器製造
B971	電子鐘錶製造
BEF7	機械鐘錶製造
C4C1	鐘錶零件製造
A4DF	心律調節器製造
A4DF	心電圖掃描器製造
A5BF	正子放射斷層（PET）掃描儀製造
A6E5	血液分析儀製造
A9F1	放射線治療儀器設備製造
ADB9	食品殺菌輻射設備製造
B0AA	高震波碎石裝置製造
B970	雷射設備製造
B971	電子助聽器製造
B971	電子醫學內視鏡設備製造
B971	電腦斷層（CT）掃描儀製造
BACF	磁共振造影（MRI）設備製造
C2E5	醫療影像儲存傳輸系統設備製造
C2E5	醫學用X光機製造
C2E5	醫學用超音波設備製造
ACDB	相機鏡頭製造
B7D3	照相機製造
BCC6	數位照相機製造
A454	三錂鏡片製造
A4DB	幻燈機製造
A4DB	幻燈片放映機製造
A5FA	光學鏡子製造
A5FA	光學投影機製造
A5FA	光學測高器製造
A5FA	光學比較儀製造
A5FA	光學量測設備製造
A5FA	光學反射鏡片製造
A5FA	光學放大儀器製造
A5FA	光學槍械瞄準設備製造
A8BE	防空搜索鏡製造
A9F1	放映鏡頭製造
A9F1	放大鏡片製造
AAF9	門眼製造
B0BE	偏光鏡片製造
B1E6	望遠鏡製造
B37A	透鏡片製造
B5D9	菱鏡製造
B971	電影放映機製造
BACB	瞄準鏡製造
BCE7	潛望鏡製造
C26F	濾鏡片製造
C36E	曝光計製造
C3E8	鏡片磨光
C3E8	鏡片度膜
C5E3	顯微鏡製造
C65B	觀劇鏡片製造
C65E	鑲嵌鏡片
A46A	大電流控制開關製造
A4D3	太陽能發電系統設備製造
AB4F	保險絲製造
ADB7	風力發電系統設備製造
ADB8	飛機電力設備製造
B05F	起動器製造
B074	配電盤製造
B074	配電設備製造
B2EE	船舶電力設備製造
B56F	發電機製造
B56F	發電器材製造
B7D3	照明用安定器製造
B971	電樞製造
B971	電動機製造
B971	電力控制盤製造
B971	電磁制動器製造
B971	電力用感應器製造
B971	電力用變壓器製造
BD75	線路切斷器製造
BFE9	輸電設備製造
C54B	鐵路電力設備製造
A552	充電式鹼性電池製造
A8AE	車用電池製造
ADEC	原電池製造
B0AE	乾電池製造
B95D	鉛酸電池製造
B971	電槽製造
B971	電力用蓄電池製造
BB57	蓄電池極板製造
BE59	鋰電池製造
C0E3	濕電池製造
C2EC	鎳氫電池製造
C2EC	鎳鎘電池製造
A5FA	光纖光纜製造
B371	通信電纜製造
B373	連接線製造
B6EC	塑膠電線電纜製造
B96A	隔離線製造
B971	電子線製造
B971	電源線製造
B971	電力電纜製造
BAA3	漆包線製造
BB72	裸銅線製造
BE54	鋁電纜製造
BEF3	橡膠電線電纜製造
BFFC	錫鋁銅線製造
C1E1	鍍錫銅線製造
AC5B	架線五金器具製造
B074	配線用固定燈座製造
B1B5	接線盒製造
B1B5	接地短路保護裝置（GFCI）製造
B67D	開關箱製造
B6C7	傳輸桿製造
B6EC	塑膠製非載電配線器材製造
B971	電鍵製造
B971	電插座製造
B971	電線開關製造
B971	電力連接器製造
B971	電力匯流排製造
B971	電線導管及配件製造
BD75	線圈製造
C1D7	避雷器製造
C54B	鐵心製造
A4F4	水銀燈管製造
A4F4	水銀燈泡製造
A74E	冷陰極燈管製造
A8AE	車用燈管製造
A8AE	車用燈泡製造
B3BF	鹵素燈管製造
B3BF	鹵素燈泡製造
B56F	發光二極體（LED）燈管製造
B56F	發光二極體（LED）燈泡製造
B971	電燈管製造
B971	電燈泡製造
BFC3	螢光燈泡製造
BFC3	螢光燈管製造
C04F	霓虹燈管製造
C04F	霓虹燈泡製造
A441	乙炔燈製造
A475	工作燈製造
A4D3	太陽能照明燈具製造
A4E2	手電筒製造
A651	吊燈製造
ABFC	指示燈製造
ACFC	美術燈製造
B07B	閃光燈製造
B56F	發光二極體（LED）燈具製造
B7D1	煤油燈製造
B7D1	煤氣燈製造
B874	聖誕裝飾燈製造
B944	道路照明燈具製造
BAF2	緊急照明燈製造
BB45	聚光燈製造
BC73	廣告燈製造
BFC3	螢光燈製造
C04F	霓虹燈製造
C269	檯燈製造
AE61	家用冷氣機製造
AE61	家用電除濕器製造
AE61	家用電加濕器製造
AE61	家用電冰箱製造
AE61	家用電冷藏箱製造
AE61	家用脫水機製造
AE61	家用洗衣機製造
AE61	家用烘乾機製造
AE61	家用電扇製造
AE61	家用通風機製造
A5B4	打蠟機製造
A5CB	瓦斯爐製造
A5CB	瓦斯烤箱製造
A5CB	瓦斯熱水器製造
A74B	免治馬桶座製造
A76A	吹風機製造
A76C	吸塵器製造
AA47	果汁機製造
AA47	果菜機製造
AAC5	空氣清淨機製造
ABF6	按摩椅製造
AE61	家用洗碗機製造
AE61	家用飲水機製造
AE61	家用電攪拌器製造
AF4E	烤爐類製造
AF4E	烤麵包器製造
B1C6	排油煙機製造
B74C	微波爐製造
B7D1	煤氣爐製造
B971	電毯製造
B971	電爐製造
B971	電鍋製造
B971	電壺製造
B971	電暖爐製造
B971	電鬍刀製造
B971	電熱盤製造
B971	電烤箱製造
B971	電熨斗製造
B971	電髮剪製造
B971	電磁爐製造
B971	電燉鍋製造
B971	電熱水器製造
B971	電打蛋器製造
B971	電刨冰機製造
B971	電燙髮器製造
B971	電按摩器製造
B971	電動牙刷製造
B971	電咖啡壺製造
B971	電捕昆蟲器製造
BB5D	蒸臉器製造
A4A3	不斷電設備（UPS）製造
A4BA	內燃機電力設備及其組件製造
A8E3	具連接頭之延長線製造
A954	固態電池充電器製造
B07B	閃光信號機製造
B56F	發光二極體（LED）顯示看板製造
B657	超音波洗滌機製造（實驗室及醫學用除外）
B971	電極製造
B971	電鈴製造
B971	電磁鐵製造
B971	電子記分板製造
B971	電源供應器製造
B971	電力用電容器製造
B971	電力用變流器製造
B971	電動信號設備製造
B971	電力用電阻器製造
B971	電力用換流器製造
B971	電力自動門裝置製造
B971	電力用整流裝置製造
B971	電力交通號誌設備製造
B971	電動熔接及焊接設備製造
BEC9	導電刷製造
BF55	燃料電池製造
C4B5	警報器製造
AAF7	金屬精鍊設備製造
BA75	滾軋機製造
C0A3	壓軋機製造
C0A3	壓鑄機製造
C5B1	鑄造機製造
A441	乙炔切割機製造
A475	工模搪孔機製造
A4C1	切管機製造
A6DB	自動鑽孔機製造
A753	刨床製造
A7F0	攻牙機製造
A9D4	拉床製造
A9DF	拋光機製造
AAF7	金屬銑床製造
AAF7	金屬鑽床製造
AAF7	金屬鋸床製造
AAF7	金屬車床製造
AAF7	金屬磨光機製造
B4A1	插床製造
B765	搪床製造
B765	搪磨機製造
BAEE	綜合加工或切削中心機製造
BDA3	膛線鐫刻機製造
BEA6	齒輪加工機製造
BF69	磨床製造
C04A	雕刻機製造
C1B3	螺栓機製造
C1B3	螺紋切製機製造
C1B3	螺絲製造機製造
A6F9	伸線機製造
A7E9	折床製造
A852	沖床製造
A9D4	拉製機製造
AA4F	板金機械製造
AAF7	金屬繞線機製造
ABAC	型鍛機製造
B0C5	剪床製造
B1B2	捲片機製造
B1B5	接合錘製造
B379	造模機製造
B967	鉚釘機製造
B971	電鍍機製造
BB73	製管機製造
BC75	彈簧製造機製造
BCF6	熱處理機製造
C0A3	壓床製造
C1B3	螺帽成型機製造
C1EB	鍛錘製造
C1EB	鍛造機製造
C2F9	雙向倒角機製造
C54B	鐵皮罐機製造
A46A	大豆採收機製造
A4A4	中耕機製造
A4C0	分級機製造
A5DD	禾穀收割機製造
AAE1	花生採收機製造
AC7E	洗果機製造
ADB7	風穀機製造
AFD1	耕耘機製造
B0A3	除草機製造
B0EF	堆草機製造
B1C4	採果機製造
B1C4	採棉機製造
B2E6	脫殼機製造
B4A1	插秧機製造
B848	碎土機製造
B941	農用牽引機製造
B941	農用曳引機製造
B941	農用搬運車製造
B941	農業機械配件製造
B97D	飼料混合機製造
B9E5	孵蛋器製造
BC51	噴粉機製造
BC51	噴霧機製造
BCBD	播種機製造
BE69	養蜂機製造
BEF7	機耕犁製造
BEF7	機耕耙製造
C0BD	擠乳機製造
C170	聯合收穫機製造
A5B4	打樁機製造
A5DB	石材切割機製造
A5DB	石材鑽孔機製造
A9A5	岩鑽製造
ABF5	挖土機製造
B1B4	探鑽機製造
B1B8	掘鑿機製造
B1C0	推土機製造
B256	混凝土攪拌機製造
BD56	碾礦機製造
BF76	築路機製造
BFEF	選礦機製造
C040	錐磨機製造
C0A3	壓路機製造
C0E7	營造用曳引機製造
C3EA	鏟土機製造
C677	鑿井機製造
A4F4	水果軋碎及壓榨機製造
A5A4	奶油分離器製造
A6CC	米粉機製造
A6D7	肉類加工機製造
